ID_pose,Step
9,"Step 5: Square your hips toward the screen and reach both arms overhead, palms facing each other."
9,"Step 6: Draw the ribs in slightly, lengthen the spine, and gaze forward at the screen."
10,"Step 1: Start in standing forward position, facing the screen."
10,Step 2: Turn your body to the left so your left side faces the screen.
10,"Step 3: Step your right foot forward about one stride and bend the right knee to about 90 degrees, keeping right knee over the right ankle."
10,Step 4: Keep the left leg extended back with the ball of the left foot pressing into the mat and toes tucked slightly.
10,"Step 5: Square your hips toward the screen and reach both arms overhead, palms facing each other."
10,"Step 6: Draw the ribs in slightly, lengthen the spine, and gaze forward at the screen."
11,"Step 1: Start in standing forward position, facing the screen."
11,Step 2: Turn your body to the right so your right side faces the screen.
11,Step 3: Step your left foot forward and lower your right knee to the mat so the top of the right foot rests on the floor.
11,"Step 4: Bend the left knee to about 90 degrees, keeping left knee stacked over the ankle and pressing hips forward gently."
11,Step 5: Reach both arms overhead with palms facing each other and draw the chest up.
11,Step 6: Keep the spine long and gaze forward at the screen while breathing steadily.
12,"Step 1: Start in standing forward position, facing the screen."
12,Step 2: Turn your body to the left so your left side faces the screen.
12,Step 3: Step your right foot forward and lower your left knee to the mat so the top of the left foot rests on the floor.
12,"Step 4: Bend the right knee to about 90 degrees, keeping right knee stacked over the ankle and pressing hips forward gently."
12,Step 5: Reach both arms overhead with palms facing each other and draw the chest up.
12,Step 6: Keep the spine long and gaze forward at the screen while breathing steadily.
13,"Step 1: Start in standing forward position, facing the screen."
13,Step 2: Turn your body to the right so your right side faces the screen.
13,"Step 3: Step your left foot slightly forward, keeping both legs straight (micro-bend if needed)."
13,"Step 4: Reach both arms overhead with palms touching, lengthening through the sides of the torso."
13,Step 5: Lean your torso and arms gently to the left creating a crescent arc while keeping the hips squared toward the screen.
13,Step 6: Keep the neck long and gaze softly at the screen or slightly upward.
14,"Step 1: Start in standing forward position, facing the screen."
14,Step 2: Turn your body to the left so your left side faces the screen.
14,"Step 3: Step your right foot slightly forward, keeping both legs straight (micro-bend if needed)."
14,"Step 4: Reach both arms overhead with palms touching, lengthening through the sides of the torso."
14,Step 5: Lean your torso and arms gently to the right creating a crescent arc while keeping the hips squared toward the screen.
14,Step 6: Keep the neck long and gaze softly at the screen or slightly upward.
15,"Step 1: Start in standing forward position, facing the screen."
15,Step 2: Turn your body to the right so your right side faces the screen.
15,Step 3: Bend both knees slightly and shift weight onto your left foot (left leg becomes the standing leg).
15,"Step 4: Lift your right leg and wrap it around the left leg, hooking the right foot behind the left calf or ankle if possible."
15,Step 5: Wrap the right arm under the left arm and bring the palms together; lift the elbows to shoulder height.
15,"Step 6: Sink the hips a bit, keep chest lifted and gaze steady at the screen for balance."
16,"Step 1: Start in standing forward position, facing the screen."
16,Step 2: Turn your body to the left so your left side faces the screen.
16,Step 3: Bend both knees slightly and shift weight onto your right foot (right leg becomes the standing leg).
16,"Step 4: Lift your left leg and wrap it around the right leg, hooking the left foot behind the right calf or ankle if possible."
16,Step 5: Wrap the left arm under the right arm and bring the palms together; lift the elbows to shoulder height.
16,"Step 6: Sink the hips a bit, keep chest lifted and gaze steady at the screen for balance."
17,"Step 1: Start in standing forward position, facing the screen."
17,Step 2: Turn your body to the right so your right side faces the screen.
17,"Step 3: Hinge forward and slide your arms under your thighs, placing your palms flat on the mat with fingers spread."
17,"Step 4: Shift weight into your hands and begin to lift your feet off the mat, bringing knees toward the armpits."
17,"Step 5: Gradually straighten the legs out to the sides as your balance improves, keeping arms strong and straight."
17,Step 6: Keep chest lifted and gaze forward at the screen while balancing on the hands.
18,"Step 1: Start in standing forward position, facing the screen."
18,Step 2: Turn your body to the left so your left side faces the screen.
18,"Step 3: Hinge forward and slide your arms under your thighs, placing your palms flat on the mat with fingers spread."
18,"Step 4: Shift weight into your hands and begin to lift your feet off the mat, bringing knees toward the armpits."
18,"Step 5: Gradually straighten the legs out to the sides as your balance improves, keeping arms strong and straight."
18,Step 6: Keep chest lifted and gaze forward at the screen while balancing on the hands.
19,"Step 1: Start in standing forward position, facing the screen."
19,Step 2: Turn your body to the right so your right side faces the screen.
19,Step 3: Bend your right knee and lift your right foot toward the back of your head.
19,"Step 4: Gently guide the right ankle behind your head using both hands, finding a secure hold without forcing."
19,"Step 5: Once stable, press the standing (left) foot firmly into the mat and lengthen through the spine."
19,Step 6: Optionally extend the arms for balance and keep your gaze toward the screen.
20,"Step 1: Start in standing forward position, facing the screen."
20,Step 2: Turn your body to the left so your left side faces the screen.
20,Step 3: Bend your left knee and lift your left foot toward the back of your head.
20,"Step 4: Gently guide the left ankle behind your head using both hands, finding a secure hold without forcing."
20,"Step 5: Once stable, press the standing (right) foot firmly into the mat and lengthen through the spine."
20,Step 6: Optionally extend the arms for balance and keep your gaze toward the screen.
21,"Step 1: Start in standing forward position, facing the screen."
21,Step 2: Turn your body to the right so your right side faces the screen.
21,"Step 3: Bend your right knee and lift the right foot toward your head, drawing the heel toward the sitting bones."
21,"Step 4: Reach both hands around the shin or ankle to hold the foot, supporting it close to the head."
21,Step 5: Keep the standing (left) leg strong and press evenly through the foot to balance.
21,Step 6: Lengthen the spine and gaze toward the screen while holding the pose.
22,"Step 1: Start in standing forward position, facing the screen."
22,Step 2: Turn your body to the left so your left side faces the screen.
22,"Step 3: Bend your left knee and lift the left foot toward your head, drawing the heel toward the sitting bones."
22,"Step 4: Reach both hands around the shin or ankle to hold the foot, supporting it close to the head."
22,Step 5: Keep the standing (right) leg strong and press evenly through the foot to balance.
22,Step 6: Lengthen the spine and gaze toward the screen while holding the pose.
23,"Step 1: Start in standing forward position, facing the screen."
23,Step 2: Turn your body to the right so your right side faces the screen.
23,"Step 3: Lift your right foot and gently place the ankle behind the head, maintaining a secure hold with the hands."
23,"Step 4: Slowly inhale, then exhale as you hinge from the hips to fold the torso forward over the standing leg."
23,Step 5: Place the hands on the floor or on blocks for support and to maintain balance.
23,Step 6: Keep the spine elongated and avoid compressing the neck; gaze down toward the mat if comfortable.
24,"Step 1: Start in standing forward position, facing the screen."
24,Step 2: Turn your body to the left so your left side faces the screen.
24,"Step 3: Lift your left foot and gently place the ankle behind the head, maintaining a secure hold with the hands."
24,"Step 4: Slowly inhale, then exhale as you hinge from the hips to fold the torso forward over the standing leg."
24,Step 5: Place the hands on the floor or on blocks for support and to maintain balance.
24,Step 6: Keep the spine elongated and avoid compressing the neck; gaze down toward the mat if comfortable.
25,"Step 1: Start in standing forward position, facing the screen."
25,Step 2: Turn your body to the right so your right side faces the screen.
25,Step 3: Bring the feet together and inhale to lengthen the spine.
25,"Step 4: Exhale and hinge at the hips, folding the torso over the legs; let the hands reach toward the floor or shins."
25,"Step 5: Soften the knees slightly if necessary and relax the neck, letting the crown of the head move toward the mat."
25,Step 6: Keep breathing slowly while maintaining alignment toward the screen.
26,"Step 1: Start in standing forward position, facing the screen."
26,Step 2: Turn your body to the left so your left side faces the screen.
26,Step 3: Bring the feet together and inhale to lengthen the spine.
26,"Step 4: Exhale and hinge at the hips, folding the torso over the legs; let the hands reach toward the floor or shins."
26,"Step 5: Soften the knees slightly if necessary and relax the neck, letting the crown of the head move toward the mat."
26,Step 6: Keep breathing slowly while maintaining alignment toward the screen.
27,"Step 1: Start in standing forward position, facing the screen."
27,Step 2: Turn your body to the right so your right side faces the screen.
27,"Step 3: Lift your right foot and place it onto the left thigh in half-lotus (ensure foot rests above or below the knee, not on it)."
27,Step 4: Thread the right arm behind your back and reach for the toes of the right foot with the left hand (bind).
27,"Step 5: Inhale to lengthen the spine, exhale and fold forward over the standing left leg while maintaining the bind."
27,Step 6: Keep the chest open and gaze toward the screen while breathing steadily.
28,"Step 1: Start in standing forward position, facing the screen."
28,Step 2: Turn your body to the left so your left side faces the screen.
28,"Step 3: Lift your left foot and place it onto the right thigh in half-lotus (ensure foot rests above or below the knee, not on it)."
28,Step 4: Thread the left arm behind your back and reach for the toes of the left foot with the right hand (bind).
28,"Step 5: Inhale to lengthen the spine, exhale and fold forward over the standing right leg while maintaining the bind."
28,Step 6: Keep the chest open and gaze toward the screen while breathing steadily.
29,"Step 1: Start in standing forward position, facing the screen."
29,"Step 2: Step your feet wide apart (about 3–4 feet), toes turned out at approximately 45 degrees."
29,"Step 3: Bend the knees deeply, lowering the hips until the thighs are near parallel to the floor."
29,Step 4: Keep the knees tracking directly over the toes and press through the outer edges of the feet.
29,Step 5: Bring the elbows to shoulder height with forearms parallel (cactus) or press palms together at heart center; draw the chest up.
29,"Step 6: Lengthen the spine, keep shoulders relaxed, and gaze straight ahead at the screen while breathing steadily."
30,"Step 1: Start in standing forward position, facing the screen."
30,Step 2: Turn your body to the right so your right side faces the screen.
30,"Step 3: Hinge at the hips and fold forward, sliding your hands under the soles of your feet with palms up if reachable."
30,Step 4: Press the toes toward the wrists and lift the heels slightly to feel the stretch under the feet.
30,Step 5: Allow the torso to relax over the legs and soften the neck while keeping a long spine as much as possible.
30,Step 6: Gently gaze back toward the screen through the legs or keep the head relaxed downward as comfortable.
31,"Step 1: Start in standing forward position, facing the screen."
31,Step 2: Turn your body to the left so your left side faces the screen.
31,"Step 3: Hinge at the hips and fold forward, sliding your hands under the soles of your feet with palms up if reachable."
31,Step 4: Press the toes toward the wrists and lift the heels slightly to feel the stretch under the feet.
31,Step 5: Allow the torso to relax over the legs and soften the neck while keeping a long spine as much as possible.
31,Step 6: Gently gaze back toward the screen through the legs or keep the head relaxed downward as comfortable.
32,"Step 1: Start in standing forward position, facing the screen."
32,Step 2: Turn your body to the right so your right side faces the screen.
32,Step 3: Step your left foot forward and bend the left knee slightly; place the left hand on a block or the floor just in front of the left foot.
32,Step 4: Shift weight onto the left foot and lift the right leg straight back and up until it aligns with the torso (hip height or higher).
32,Step 5: Open the chest toward the screen and extend the right arm straight up; square the hips as much as possible.
32,Step 6: Gaze at the screen or up at the right hand while keeping balance and steady breath.
33,"Step 1: Start in standing forward position, facing the screen."
33,Step 2: Turn your body to the left so your left side faces the screen.
33,Step 3: Step your right foot forward and bend the right knee slightly; place the right hand on a block or the floor just in front of the right foot.
33,Step 4: Shift weight onto the right foot and lift the left leg straight back and up until it aligns with the torso (hip height or higher).
33,Step 5: Open the chest toward the screen and extend the left arm straight up; square the hips as much as possible.
33,Step 6: Gaze at the screen or up at the left hand while keeping balance and steady breath.
34,"Step 1: Start in standing forward position, facing the screen."
34,Step 2: Turn your body to the right so your right side faces the screen.
34,Step 3: Step your left foot forward and bend the left knee slightly; place your right hand on the floor outside the left foot.
34,Step 4: Shift weight into the left foot and lift the right leg back and up while rotating the torso toward the screen.
34,Step 5: Extend the left arm up and open the chest; keep the lifted leg strong and hips as level as possible.
34,Step 6: Gaze toward the screen or at the left hand while holding the twist and balance.
35,"Step 1: Start in standing forward position, facing the screen."
35,Step 2: Turn your body to the left so your left side faces the screen.
35,Step 3: Step your right foot forward and bend the right knee slightly; place your left hand on the floor outside the right foot.
35,Step 4: Shift weight into the right foot and lift the left leg back and up while rotating the torso toward the screen.
35,Step 5: Extend the right arm up and open the chest; keep the lifted leg strong and hips as level as possible.
35,Step 6: Gaze toward the screen or at the right hand while holding the twist and balance.
36,"Step 1: Start in standing forward position, facing the screen."
36,Step 2: Turn your body to the right so your right side faces the screen.
36,Step 3: Shift weight onto your left foot and bend your left knee slightly for stability.
36,Step 4: Lift your right leg and hold the right big toe with the right hand (use a strap if needed).
36,Step 5: Extend the right leg forward or out to the side while keeping the spine long and chest lifted.
36,Step 6: Reach the left arm out to the side for balance and gaze toward the screen while breathing steadily.
37,"Step 1: Start in standing forward position, facing the screen."
37,Step 2: Turn your body to the left so your left side faces the screen.
37,Step 3: Shift weight onto your right foot and bend your right knee slightly for stability.
37,Step 4: Lift your left leg and hold the left big toe with the left hand (use a strap if needed).
37,Step 5: Extend the left leg forward or out to the side while keeping the spine long and chest lifted.
37,Step 6: Reach the right arm out to the side for balance and gaze toward the screen while breathing steadily.
38,"Step 1: Start in standing forward position, facing the screen."
38,Step 2: Turn your body to the right so your right side faces the screen.
38,"Step 3: Shift weight onto your left foot and lift your right leg, holding the right big toe with the left hand for the revolved variation."
38,Step 4: Extend the right leg forward and then open it outward while rotating your torso toward the screen.
38,Step 5: Reach the right arm back or out for counterbalance and keep the hips level as you twist.
38,Step 6: Gaze over the right shoulder or toward the screen while maintaining steady breath.
39,"Step 1: Start in standing forward position, facing the screen."
39,Step 2: Turn your body to the left so your left side faces the screen.
39,"Step 3: Shift weight onto your right foot and lift your left leg, holding the left big toe with the right hand for the revolved variation."
39,Step 4: Extend the left leg forward and then open it outward while rotating your torso toward the screen.
39,Step 5: Reach the left arm back or out for counterbalance and keep the hips level as you twist.
39,Step 6: Gaze over the left shoulder or toward the screen while maintaining steady breath.
40,"Step 1: Start in standing forward position, facing the screen."
40,Step 2: Turn to the right so your right side faces the screen.
40,Step 3: Shift weight onto your left leg and lift your right knee.
40,Step 4: Hold your right big toe with your right hand.
40,"Step 5: Extend your right leg forward, keeping spine long."
40,Step 6: Extend your left arm to the side for balance and gaze at the screen.
41,"Step 1: Start in standing forward position, facing the screen."
41,Step 2: Turn to the left so your left side faces the screen.
41,Step 3: Shift weight onto your right leg and lift your left knee.
41,Step 4: Hold your left big toe with your left hand.
41,"Step 5: Extend your left leg forward, keeping spine long."
41,Step 6: Extend your right arm to the side for balance and gaze at the screen.
42,Step 1: Stand tall facing the screen with feet together.
42,Step 2: Press evenly into both feet and lift kneecaps slightly.
42,Step 3: Engage thighs and lengthen spine upward.
42,"Step 4: Rest arms by your sides, palms facing the screen."
42,Step 5: Broaden collarbones and keep chin parallel to the floor.
42,Step 6: Gaze steadily at the screen.
43,"Step 1: Start in standing forward position, facing the screen."
43,Step 2: Turn to the right so your right side faces the screen.
43,"Step 3: Step your left foot forward, right leg extended back."
43,Step 4: Square hips to the screen and keep legs straight.
43,"Step 5: Fold forward over your left leg, hands on shin, block, or floor."
43,Step 6: Lengthen spine and keep your gaze soft toward the screen.
44,"Step 1: Start in standing forward position, facing the screen."
44,Step 2: Turn to the left so your left side faces the screen.
44,"Step 3: Step your right foot forward, left leg extended back."
44,Step 4: Square hips to the screen and keep legs straight.
44,"Step 5: Fold forward over your right leg, hands on shin, block, or floor."
44,Step 6: Lengthen spine and keep your gaze soft toward the screen.
45,"Step 1: Start in standing forward position, facing the screen."
45,Step 2: Turn to the right so your right side faces the screen.
45,Step 3: Shift weight to your left leg and bend the knee deeply.
45,"Step 4: Cross your right leg behind the left calf, toes touching the floor."
45,Step 5: Bring palms together at your chest or extend arms forward.
45,Step 6: Keep chest upright and gaze at the screen.
46,"Step 1: Start in standing forward position, facing the screen."
46,Step 2: Turn to the left so your left side faces the screen.
46,Step 3: Shift weight to your right leg and bend the knee deeply.
46,"Step 4: Cross your left leg behind the right calf, toes touching the floor."
46,Step 5: Bring palms together at your chest or extend arms forward.
46,Step 6: Keep chest upright and gaze at the screen.
47,"Step 1: Start in standing forward position, facing the screen."
47,Step 2: Turn to the right so your right side faces the screen.
47,Step 3: Step your left foot forward and bend your left knee to 90 degrees.
47,Step 4: Keep right leg straight and grounded firmly.
47,Step 5: Place left elbow on thigh or left hand on the floor inside foot.
47,"Step 6: Stretch right arm overhead in a diagonal line, gaze at the screen."
48,"Step 1: Start in standing forward position, facing the screen."
48,Step 2: Turn to the left so your left side faces the screen.
48,Step 3: Step your right foot forward and bend your right knee to 90 degrees.
48,Step 4: Keep left leg straight and grounded firmly.
48,Step 5: Place right elbow on thigh or right hand on the floor inside foot.
48,"Step 6: Stretch left arm overhead in a diagonal line, gaze at the screen."
49,"Step 1: Start in standing forward position, facing the screen."
49,Step 2: Turn to the right so your right side faces the screen.
49,Step 3: Fold forward and place your hands on the floor.
49,Step 4: Lift your right leg high behind you with toes pointing upward.
49,"Step 5: Keep left leg strong and straight, rooted into the mat."
49,Step 6: Relax head downward and keep gaze soft toward the screen.
50,"Step 1: Start in standing forward position, facing the screen."
50,Step 2: Turn to the left so your left side faces the screen.
50,Step 3: Fold forward and place your hands on the floor.
50,Step 4: Lift your left leg high behind you with toes pointing upward.
50,"Step 5: Keep right leg strong and straight, rooted into the mat."
50,Step 6: Relax head downward and keep gaze soft toward the screen.
51,"Step 1: Start in standing forward position, facing the screen."
51,Step 2: Turn to the right so your right side faces the screen.
51,Step 3: Shift weight onto your left leg and bend your right knee backward.
51,Step 4: Hold inside of right ankle with right hand.
51,"Step 5: Extend left arm forward, parallel to the screen."
51,"Step 6: Kick right foot into your hand, lifting chest and leg upward."
52,"Step 1: Start in standing forward position, facing the screen."
52,Step 2: Turn to the left so your left side faces the screen.
52,Step 3: Shift weight onto your right leg and bend your left knee backward.
52,Step 4: Hold inside of left ankle with left hand.
52,"Step 5: Extend right arm forward, parallel to the screen."
52,"Step 6: Kick left foot into your hand, lifting chest and leg upward."
53,"Step 1: Start in standing forward position, facing the screen."
53,Step 2: Step feet wide apart with toes pointing forward.
53,"Step 3: Extend arms out to shoulder height, palms facing the screen."
53,"Step 4: Keep legs strong, spine lifted and chest open."
53,Step 5: Gaze steadily at the screen.
54,"Step 1: Start in standing forward position, facing the screen."
54,Step 2: Turn to the right so your right side faces the screen.
54,Step 3: Shift weight onto your left leg.
54,"Step 4: Place right foot on left calf or inner thigh, avoid the knee."
54,"Step 5: Press foot and thigh together, open knee outward."
54,"Step 6: Bring palms together at chest or arms overhead, gaze at the screen."
55,"Step 1: Start in standing forward position, facing the screen."
55,Step 2: Turn to the left so your left side faces the screen.
55,Step 3: Shift weight onto your right leg.
55,"Step 4: Place left foot on right calf or inner thigh, avoid the knee."
55,"Step 5: Press foot and thigh together, open knee outward."
55,"Step 6: Bring palms together at chest or arms overhead, gaze at the screen."
56,"Step 1: Start in standing forward position, facing the screen."
56,Step 2: Turn to the right so your right side faces the screen.
56,"Step 3: Step left foot forward, keeping both legs straight."
56,Step 4: Extend arms out at shoulder height.
56,"Step 5: Reach left hand toward shin or floor, extend right arm up."
56,"Step 6: Open chest to the screen, gaze at the lifted hand."
57,"Step 1: Start in standing forward position, facing the screen."
57,Step 2: Turn to the left so your left side faces the screen.
57,"Step 3: Step right foot forward, keeping both legs straight."
57,Step 4: Extend arms out at shoulder height.
57,"Step 5: Reach right hand toward shin or floor, extend left arm up."
57,"Step 6: Open chest to the screen, gaze at the lifted hand."
58,"Step 1: Start in standing forward position, facing the screen."
58,Step 2: Turn to the right so your right side faces the screen.
58,"Step 3: Step left foot forward, right leg extended back."
58,Step 4: Square hips to the screen.
58,Step 5: Place right hand outside left foot on floor or block.
58,"Step 6: Extend left arm upward, twisting torso and gazing at lifted hand."
59,"Step 1: Start in standing forward position, facing the screen."
59,Step 2: Turn to the left so your left side faces the screen.
59,"Step 3: Step right foot forward, left leg extended back."
59,Step 4: Square hips to the screen.
59,Step 5: Place left hand outside right foot on floor or block.
59,"Step 6: Extend right arm upward, twisting torso and gazing at lifted hand."
60,"Step 1: Start in standing forward position, facing the screen."
60,Step 2: Turn to the right so your right side faces the screen.
60,Step 3: Step left foot forward and bend left knee to 90 degrees.
60,"Step 4: Keep right leg extended back, foot angled outward slightly."
60,"Step 5: Square hips to the screen, arms raised overhead."
60,Step 6: Lift chest and gaze at the screen.
61,"Step 1: Start in standing forward position, facing the screen."
61,Step 2: Turn to the left so your left side faces the screen.
61,Step 3: Step right foot forward and bend right knee to 90 degrees.
61,"Step 4: Keep left leg extended back, foot angled outward slightly."
61,"Step 5: Square hips to the screen, arms raised overhead."
61,Step 6: Lift chest and gaze at the screen.
62,"Step 1: Start in standing forward position, facing the screen."
62,Step 2: Turn to the right so your right side faces the screen.
62,"Step 3: Step left foot forward, bend left knee to 90 degrees."
62,"Step 4: Keep right leg extended back, foot parallel to screen."
62,Step 5: Extend arms at shoulder height in opposite directions.
62,Step 6: Gaze over left fingertips toward the screen.
63,"Step 1: Start in standing forward position, facing the screen."
63,Step 2: Turn to the left so your left side faces the screen.
63,"Step 3: Step right foot forward, bend right knee to 90 degrees."
63,"Step 4: Keep left leg extended back, foot parallel to screen."
63,Step 5: Extend arms at shoulder height in opposite directions.
63,Step 6: Gaze over right fingertips toward the screen.
64,"Step 1: Start in standing forward position, facing the screen."
64,Step 2: Turn to the right so your right side faces the screen.
64,Step 3: Step left foot forward and shift weight fully onto it.
64,"Step 4: Lift right leg back, parallel to floor, hinge forward at hips."
64,Step 5: Extend arms forward in line with torso.
64,"Step 6: Form a straight line from hands to lifted foot, gaze at the screen."
65,"Step 1: Start in standing forward position, facing the screen."
65,Step 2: Turn to the left so your left side faces the screen.
65,Step 3: Step right foot forward and shift weight fully onto it.
65,"Step 4: Lift left leg back, parallel to floor, hinge forward at hips."
65,Step 5: Extend arms forward in line with torso.
65,"Step 6: Form a straight line from hands to lifted foot, gaze at the screen."
66,"Step 1: Start in standing forward position, facing the screen."
66,Step 2: Step feet wide apart with toes facing forward.
66,Step 3: Place hands on hips and hinge forward at the hips.
66,Step 4: Fold torso down and place hands on the floor between feet.
66,"Step 5: Keep spine long and legs straight, crown of head reaching toward the screen."
67,"Step 1: Start in standing forward position, facing the screen."
67,Step 2: Step feet wide apart with toes facing forward.
67,Step 3: Fold torso forward at the hips.
67,Step 4: Place hands on floor with fingers pointing backward.
67,"Step 5: Relax head down, crown reaching toward the screen."
68,"Step 1: Start in standing forward position, facing the screen."
68,Step 2: Step feet wide apart with toes facing forward.
68,Step 3: Clasp hands behind back and straighten arms.
68,"Step 4: Fold forward, allowing arms to extend overhead."
68,Step 5: Relax head down and gaze softly toward the screen.
69,"Step 1: Start in standing forward position, facing the screen."
69,Step 2: Step feet wide apart with toes facing forward.
69,Step 3: Hook big toes with index and middle fingers.
69,Step 4: Fold torso forward between legs.
69,Step 5: Keep spine long and gaze softly toward the screen.
70,"Step 1: Start in standing forward position, facing the screen."
70,Step 2: Turn your body to the right so your right side faces the screen.
70,"Step 3: Extend your left leg forward, bending the knee slightly."
70,"Step 4: Draw your right leg back, bend it and place foot near hip."
70,"Step 5: Extend left arm forward, draw right arm back as if pulling a bowstring."
70,"Step 6: Keep chest tall and open, gaze forward at the screen."
71,"Step 1: Start in standing forward position, facing the screen."
71,Step 2: Turn your body to the left so your left side faces the screen.
71,"Step 3: Extend your right leg forward, bending the knee slightly."
71,"Step 4: Draw your left leg back, bend it and place foot near hip."
71,"Step 5: Extend right arm forward, draw left arm back as if pulling a bowstring."
71,"Step 6: Keep chest tall and open, gaze forward at the screen."
72,"Step 1: Start in standing forward position, facing the screen."
72,Step 2: Turn your body to the right so your right side faces the screen.
72,Step 3: Sit on the floor and bend your knees with feet flat on the ground.
72,Step 4: Lean back slightly and lift your feet off the floor so your shins are parallel to the screen.
72,Step 5: Extend your arms forward alongside your legs with palms facing the screen.
72,Step 6: Straighten your legs upward into a 'V' shape if possible while keeping your back strong.
72,"Step 7: Hold the position, balancing on your sitting bones, and keep your gaze steady at the screen."
73,"Step 1: Start in standing forward position, facing the screen."
73,Step 2: Turn your body to the left so your left side faces the screen.
73,Step 3: Sit on the floor and bend your knees with feet flat on the ground.
73,Step 4: Lean back slightly and lift your feet off the floor so your shins are parallel to the screen.
73,Step 5: Extend your arms forward alongside your legs with palms facing the screen.
73,Step 6: Straighten your legs upward into a 'V' shape if possible while keeping your back strong.
73,"Step 7: Hold the position, balancing on your sitting bones, and keep your gaze steady at the screen."
74,"Step 1: Start in standing forward position, facing the screen."
74,Step 2: Turn to the right so your right side faces the screen.
74,"Step 3: Sit down and bend both knees, bringing them toward your chest."
74,Step 4: Lift your right leg and carefully place it behind your head.
74,Step 5: Lift your left leg and also position it behind your head.
74,"Step 6: Keep chest lifted, balance upright, and gaze at the screen."
75,"Step 1: Start in standing forward position, facing the screen."
75,Step 2: Turn to the left so your left side faces the screen.
75,"Step 3: Sit down and bend both knees, bringing them toward your chest."
75,Step 4: Lift your left leg and carefully place it behind your head.
75,Step 5: Lift your right leg and also position it behind your head.
75,"Step 6: Keep chest lifted, balance upright, and gaze at the screen."
76,Step 1: Sit facing the screen with legs extended forward.
76,Step 2: Bend knees outward and bring soles of feet together.
76,Step 3: Hold feet with both hands.
76,Step 4: Press knees gently toward the floor.
76,Step 5: Lengthen spine and keep chest open while gazing at the screen.
