Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,True or False (QPG),Harvesting is the process of separating the grains and removing the husk from crop products.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator True or False (QPG) 4,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,True or False (QPG),Sustainable farming methods harm the soil and water.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator True or False (QPG) 5,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,True or False (QPG),Farmers use trucks and trains to transport crop products to different places.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator True or False (QPG) 6,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,True or False (QPG),Markets are places where people go to sell their products.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator True or False (QPG) 7,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,True or False (QPG),"Animals give out oxygen, which is needed by plants for photosynthesis.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator True or False (QPG) 8,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,True or False (QPG),Humans plant trees primarily to prevent soil erosion.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator True or False (QPG) 9,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,True or False (QPG),Decomposers like bacteria and fungi help in recycling nutrients in the biosphere,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator True or False (QPG) 10,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Very Short Answer Questions (QPG),What is the primary aim of agriculture?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Very Short Answer Questions (QPG) 1,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Very Short Answer Questions (QPG),How do farmers ensure that the food we eat is safe?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Very Short Answer Questions (QPG) 2,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Very Short Answer Questions (QPG),What is the process of collecting the fully grown crop plants called?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Very Short Answer Questions (QPG) 3,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Very Short Answer Questions (QPG),How do farmers transport their crop products to different places?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Very Short Answer Questions (QPG) 4,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Very Short Answer Questions (QPG),What are markets like?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Very Short Answer Questions (QPG) 5,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Very Short Answer Questions (QPG),How do plants help humans in terms of food?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Very Short Answer Questions (QPG) 6,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Very Short Answer Questions (QPG),What is the role of animals in maintaining the balance of oxygen and carbon dioxide in the environment?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Very Short Answer Questions (QPG) 7,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Very Short Answer Questions (QPG),What do herbivores eat?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Very Short Answer Questions (QPG) 8,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Very Short Answer Questions (QPG),What are carnivores?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Very Short Answer Questions (QPG) 9,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Very Short Answer Questions (QPG),What are decomposers?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Very Short Answer Questions (QPG) 10,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Short Answer Questions (QPG),What are the biotic and abiotic components of an ecosystem?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Short Answer Questions (QPG) 1,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Short Answer Questions (QPG),How do plants and animals help in maintaining the balance of oxygen and carbon dioxide in the environment?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Short Answer Questions (QPG) 2,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Short Answer Questions (QPG),"What is the difference between herbivores, carnivores, and omnivores?",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Short Answer Questions (QPG) 3,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Short Answer Questions (QPG),How do decomposers like bacteria and fungi contribute to the ecosystem?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Short Answer Questions (QPG) 4,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Short Answer Questions (QPG),Why is recycling important in conserving natural resources?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Short Answer Questions (QPG) 5,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Short Answer Questions (QPG),How does pollution affect plants and animals?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Short Answer Questions (QPG) 6,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Short Answer Questions (QPG),Describe the process of pollination and its importance.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Short Answer Questions (QPG) 7,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Short Answer Questions (QPG),What are the benefits of national parks and wildlife reserves?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Short Answer Questions (QPG) 8,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Short Answer Questions (QPG),How do humans help in controlling soil erosion?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Short Answer Questions (QPG) 9,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Short Answer Questions (QPG),Explain the concept of a food web and its significance in an ecosystem,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Short Answer Questions (QPG) 10,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Fill in the blank (QPG),Farmers play a major role in the _______________ of food.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Fill in the blank (QPG) 1,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Fill in the blank (QPG),The process of collecting the fully grown crop plants from the fields is called _______________.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Fill in the blank (QPG) 2,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Fill in the blank (QPG),"After harvesting, farmers sort and separate the crop products _______________.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Fill in the blank (QPG) 3,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Fill in the blank (QPG),Farmers use trucks and trains to _______________ their crop products to different places.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Fill in the blank (QPG) 4,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Fill in the blank (QPG),Markets are like big stores where people go to buy _______________.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Fill in the blank (QPG) 5,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Fill in the blank (QPG),Plants and animals help to maintain the balance of _______________ in the environment.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Fill in the blank (QPG) 6,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Fill in the blank (QPG),Birds have beaks that act like a special tool for _______________.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Fill in the blank (QPG) 7,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Fill in the blank (QPG),Animals that eat the flesh of other animals are called _______________.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Fill in the blank (QPG) 8,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Fill in the blank (QPG),Bacteria and fungi that feed on remains of dead and decaying plant and animal materials are called _______________.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Fill in the blank (QPG) 9,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Fill in the blank (QPG),An ecosystem consists of two components - biotic and _______________ components.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Fill in the blank (QPG) 10,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Long Answer Questions (QPG),"Describe the journey of food from the farm to the kitchen, highlighting the role of farmers and the steps involved in food production and distribution.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Long Answer Questions (QPG) 1,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Long Answer Questions (QPG),"Explain the concept of an ecosystem, including its components (biotic and abiotic) and the interdependence of living organisms within it.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Long Answer Questions (QPG) 2,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Long Answer Questions (QPG),"Discuss the different types of animals based on their eating habits (herbivores, carnivores, omnivores) and provide examples of each.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5Chapter 5 Organisms and Their Interdependence Test Paper Generator Long Answer Questions (QPG) 3,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Long Answer Questions (QPG),How do plants help in maintaining the balance of oxygen and carbon dioxide in the environment? Explain with examples.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Long Answer Questions (QPG) 4,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Long Answer Questions (QPG),"Describe the process of photosynthesis in plants, including the role of chlorophyll and the exchange of gases.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Long Answer Questions (QPG) 5,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Long Answer Questions (QPG),What is a food chain? Provide examples of different food chains and explain the concept of trophic levels.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Long Answer Questions (QPG) 6,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Long Answer Questions (QPG),Discuss the importance of decomposers in an ecosystem and how they contribute to nutrient cycling.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Long Answer Questions (QPG) 7,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Long Answer Questions (QPG),Explain the concept of a food web and how it differs from a food chain. Provide examples to illustrate.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Long Answer Questions (QPG) 8,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Long Answer Questions (QPG),"How do humans impact ecosystems, and what measures can be taken to protect and preserve them?",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Long Answer Questions (QPG) 9,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Long Answer Questions (QPG),Discuss the role of wildlife reserves and national parks in conserving biodiversity and protecting endangered species.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Long Answer Questions (QPG) 10,1
