Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)",
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,True or False (QPG),All insects have six legs and do not have bones in their bodies.,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator True or False 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,True or False (QPG), Butterflies and birds belong to the same group of animals.,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator True or False 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,True or False (QPG),"Some insects can fly, crawl, and jump",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator True or False 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,True or False (QPG),"Bees and dragonflies have four wings, while flies and mosquitoes have two wings",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator True or False 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,True or False (QPG),The larva stage is when the insect mostly stays still and takes rest.,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator True or False 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,True or False (QPG),"Insects breathe through their spiracles, which are located on their head",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator True or False 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,True or False (QPG),The abdomen is the smallest part of an insect's body,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator True or False 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,True or False (QPG),All insects go through the same stages in their life cycle,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator True or False 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,True or False (QPG),"Cockroaches, flies, mosquitoes, lice, and bed bugs are considered harmful insects",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator True or False 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,True or False (QPG),The process of changing from a larva to an adult insect is called metamorphosis,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator True or False 10,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Very Short Answer Questions (QPG),How many legs do insects typically have?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Very Short Answer Questions 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Very Short Answer Questions (QPG),What is the hard body covering of insects called?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Very Short Answer Questions 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Very Short Answer Questions (QPG),Name one insect that can fly,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Very Short Answer Questions 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Very Short Answer Questions (QPG),What is the front part of an insect's body called?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Very Short Answer Questions 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Very Short Answer Questions (QPG),What do insects use their antennae for?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Very Short Answer Questions 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Very Short Answer Questions (QPG),How many wings do bees and dragonflies have?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Very Short Answer Questions 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Very Short Answer Questions (QPG),What is the largest part of an insect's body called?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Very Short Answer Questions 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Very Short Answer Questions (QPG),What are the tiny holes on the sides of an insect's abdomen called?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Very Short Answer Questions 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Very Short Answer Questions (QPG),What is the process of shedding the skin of a larva called?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Very Short Answer Questions 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Very Short Answer Questions (QPG),How many stages are there in the life cycle of a butterfly?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Very Short Answer Questions 10,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Short Answer Questions (QPG),How do insects move?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Short Answer Questions 1 ,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Short Answer Questions (QPG),Name one insect that can both fly and crawl,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Short Answer Questions 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Short Answer Questions (QPG),What are the three main body parts of an insect?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Short Answer Questions 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Short Answer Questions (QPG),How do insects breathe?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Short Answer Questions 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Short Answer Questions (QPG),What is the larva stage of an insect's life cycle?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Short Answer Questions 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Short Answer Questions (QPG),What is the pupa stage of an insect's life cycle?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Short Answer Questions 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Short Answer Questions (QPG),How many wings do flies and mosquitoes have?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Short Answer Questions 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Short Answer Questions (QPG),What do bees collect from flowers?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Short Answer Questions 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Short Answer Questions (QPG),How does a caterpillar transform into a butterfly?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Short Answer Questions 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Short Answer Questions (QPG),Name one harmful insect and one useful insect,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Short Answer Questions 10,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Fill in the blank (QPG),Insects have _______ legs and a hard body covering called an exoskeleton.,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Fill in the blanks 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Fill in the blank (QPG),"The middle part of an insect's body, which bears three pairs of legs and one or two pairs of wings, is called the _______.",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Fill in the blanks 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Fill in the blank (QPG),"The largest part of an insect's body, which may have stingers and small holes called spiracles for breathing, is called the _______.",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Fill in the blanks 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Fill in the blank (QPG),"Insects go through different stages of development, including the egg, larva, pupa, and _______ stages.",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Fill in the blanks 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Fill in the blank (QPG),"During the _______ stage, an insect is mostly still, covered with a protective layer, and undergoes metamorphosis.",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Fill in the blanks 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Fill in the blank (QPG)," _______ is the front part of an insect's body, which has one pair of eyes, a pair of antennae, and a mouth.",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Fill in the blanks 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Fill in the blank (QPG),The process of changing from a young form to an adult form in insects is called _______.,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Fill in the blanks 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Fill in the blank (QPG),Insects breathe through small holes called _______ present on either side of their abdomen.,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Fill in the blanks 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Fill in the blank (QPG),"Some insects, like butterflies, lay their eggs on the lower parts of leaves, where they can be protected from _______.",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Fill in the blanks 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Fill in the blank (QPG),The proper food that we eat at a particular time of the day is called a _______.,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Fill in the blanks 10,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Long Answer Questions (QPG),Describe the characteristics of insects that distinguish them from other animals. Provide examples of common insects and their features.,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Long Answer Questions 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Long Answer Questions (QPG),"Explain the importance of body parts like head, thorax, and abdomen in insects. How do these body parts contribute to their survival and behavior?",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Long Answer Questions 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Long Answer Questions (QPG),"Describe the life cycle of an insect, including the stages of egg, larva, pupa, and adult. Use specific examples of insects to illustrate each stage.",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Long Answer Questions 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Long Answer Questions (QPG),"How do insects like bees, dragonflies, and beetles use their wings for different purposes? Explain the significance of wings in the life of an insect.",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Long Answer Questions 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Long Answer Questions (QPG),Discuss the role of metamorphosis in the life cycle of insects. How does metamorphosis benefit insects in terms of survival and adaptation?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Long Answer Questions 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Long Answer Questions (QPG),Explain how insects breathe and how their respiratory system differs from that of other animals. What role do spiracles play in insect respiration?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Long Answer Questions 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Long Answer Questions (QPG),Describe the process of moulting in insects. Why is moulting necessary for the growth and development of insects?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Long Answer Questions 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Long Answer Questions (QPG),"Discuss the ecological importance of insects, both as pollinators and as prey for other animals. How do insects contribute to the balance of ecosystems?",,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Long Answer Questions 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Long Answer Questions (QPG),Explain the concept of protective mimicry in insects. Provide examples of insects that use mimicry for protection and survival.,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Long Answer Questions 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Long Answer Questions (QPG),Discuss the harmful effects of certain insects on humans and the environment. How can these harmful effects be minimized or controlled?,,,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator Long Answer Questions 10,1
