Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,True or False (QPG), The nervous system includes organs like the liver and pancreas.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator True or False 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,True or False (QPG),The reproductive system is responsible for digestion in the human body.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator True or False 10,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Very Short Answer Questions (QPG),What are the main body parts that help us perform different functions?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Very Short Answer Questions 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Very Short Answer Questions (QPG), How many sense organs do humans have?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Very Short Answer Questions 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Very Short Answer Questions (QPG),What is an organ?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Very Short Answer Questions 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Very Short Answer Questions (QPG),What are external organs?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Very Short Answer Questions 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Very Short Answer Questions (QPG), What are internal organs?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Very Short Answer Questions 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Very Short Answer Questions (QPG),How many bones are there in an adult human body?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Very Short Answer Questions 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Very Short Answer Questions (QPG), What are joints?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Very Short Answer Questions 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Very Short Answer Questions (QPG),What is the major organ of the circulatory system?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Very Short Answer Questions 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Very Short Answer Questions (QPG),What is breathing?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Very Short Answer Questions 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Very Short Answer Questions (QPG),What is the process of digestion called?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Very Short Answer Questions 10,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Short Answer Questions (QPG),"What are organs, and how do they function in the body?",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Short Answer Questions 1 ,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Short Answer Questions (QPG),Describe the structure of the skeletal system and its functions.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Short Answer Questions 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Short Answer Questions (QPG),How do muscles work with bones to allow movement?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Short Answer Questions 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Short Answer Questions (QPG),Explain the process of digestion in the human body.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Short Answer Questions 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Short Answer Questions (QPG),How does the circulatory system help in the transportation of materials in the body?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Short Answer Questions 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Short Answer Questions (QPG),What is the role of the respiratory system in the exchange of gases?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Short Answer Questions 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Short Answer Questions (QPG),How do the kidneys function in the excretory system?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Short Answer Questions 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Short Answer Questions (QPG),Describe the nervous system and its role in transmitting signals in the body.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Short Answer Questions 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Short Answer Questions (QPG),"What are the male and female reproductive systems, and what are their functions?",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Short Answer Questions 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Short Answer Questions (QPG),How can exercise contribute to overall health and well-being?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Short Answer Questions 10,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Fill in the blank (QPG),The _________ system consists of bones and joints.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Fill in the blanks 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Fill in the blank (QPG),The process of taking in oxygen and giving out carbon dioxide is called _________.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Fill in the blanks 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Fill in the blank (QPG),Waste materials such as urine and sweat are removed through the _________ system.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Fill in the blanks 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Fill in the blank (QPG),The _________ system carries blood to different parts of our body.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Fill in the blanks 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Fill in the blank (QPG),The _________ consists of muscles and helps in the movement of our body.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Fill in the blanks 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Fill in the blank (QPG),_________ is a part of our nervous system.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Fill in the blanks 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Fill in the blank (QPG),The food we eat moves from the mouth to a long tube called the _________.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Fill in the blanks 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Fill in the blank (QPG),The _________ system helps in purifying our blood.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Fill in the blanks 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Fill in the blank (QPG),_________ is the major organ of the circulatory system.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Fill in the blanks 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Fill in the blank (QPG),"When two or more bones join together at a point, it is called a _________.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Fill in the blanks 10,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Long Answer Questions (QPG),"Describe the structure and functions of the skeletal system in detail, including the types of bones and their roles in the body.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Long Answer Questions 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Long Answer Questions (QPG),"Explain the process of digestion from the moment food enters the mouth to its absorption in the small intestine, highlighting the role of each organ involved.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Long Answer Questions 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Long Answer Questions (QPG),"Discuss the journey of a red blood cell through the circulatory system, starting from its creation in the bone marrow to its circulation throughout the body and bac",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Long Answer Questions 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Long Answer Questions (QPG),How does the respiratory system work to ensure efficient gas exchange in the body? Include the structures involved and the mechanisms of inhalation and exhalation.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Long Answer Questions 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Long Answer Questions (QPG),"Explore the role of the nervous system in coordinating various activities in the body, focusing on how nerve cells communicate and the importance of the brain and s",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Long Answer Questions 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Long Answer Questions (QPG),"Describe the process of urine formation in the kidneys, including filtration, reabsorption, and secretion, and explain the significance of maintaining proper kidney",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Long Answer Questions 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Long Answer Questions (QPG),"Explain the menstrual cycle in females, detailing the hormonal changes and the physiological processes that occur in the reproductive system.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Long Answer Questions 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Long Answer Questions (QPG),"Discuss the impact of regular exercise on the different systems of the body, including the cardiovascular, muscular, and skeletal systems, and how it contributes to",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Long Answer Questions 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Long Answer Questions (QPG),"Describe the structure and function of a neuron, including its various parts and how it transmits signals in the nervous system.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Long Answer Questions 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Long Answer Questions (QPG),How does the excretory system help maintain homeostasis in the body? Discuss the organs involved and their roles in removing waste products.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator Long Answer Questions 10,1
